2025-05-21 00:03:01.8874[20]  INFO HomeController  讀取檔案 C:\Leo\其他\Kuri\人數表\20250519\0519匯入_TEST\古亭.xlsx
2025-05-21 06:25:37.5615[20] ERROR HomeController  匯入龍華資料失敗 ex Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')  ex.InnerException 
2025-05-21 06:26:11.5326[20] ERROR HomeController  匯入龍華資料失敗 ex Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')  ex.InnerException 
2025-05-21 07:00:15.3837[3]  INFO HomeController  進入首頁 IsGuest:True IsAuthenticated:True
2025-05-21 07:00:15.3837[3]  INFO HomeController  進入首頁 讀取 Session account: login:
2025-05-21 07:00:15.3964[3]  INFO MemberController  Member Login account: password: 
2025-05-21 07:00:27.5421[7]  INFO MemberController  Member Login account:admin password:cloudfun 
2025-05-21 07:00:57.5276[3]  INFO MemberController  Member Login account:sysadmin password:53906052 
2025-05-21 07:00:57.6196[3]  INFO MemberController  進行登入 
2025-05-21 07:00:57.7057[3]  INFO MemberController  進行登入完成 導入 /Index False 
2025-05-21 07:00:57.8086[7]  INFO HomeController  進入首頁 IsGuest:False IsAuthenticated:True
2025-05-21 07:00:57.8086[7]  INFO HomeController  進入首頁
2025-05-21 07:01:00.6617[52]  INFO StudentPopulationController  進入首頁(MainMenu)
2025-05-21 07:01:00.6617[52]  INFO StudentPopulationController  進入首頁確認使用者 User.IsGuest False User.Id 39f4dcfc-8205-434e-7e2d-08dd70e468ab
2025-05-21 07:01:38.9180[7]  INFO HomeController  進入首頁 IsGuest:True IsAuthenticated:True
2025-05-21 07:01:38.9246[7]  INFO HomeController  進入首頁 讀取 Session account: login:
2025-05-21 07:01:39.0329[17]  INFO MemberController  Member Login account: password: 
2025-05-21 07:01:59.1142[18]  INFO MemberController  Member Login account:sysadmin password:53906052 
2025-05-21 07:01:59.2573[18]  INFO MemberController  進行登入 
2025-05-21 07:01:59.4520[18]  INFO MemberController  進行登入完成 導入 /Index False 
2025-05-21 07:01:59.5814[25]  INFO HomeController  進入首頁 IsGuest:False IsAuthenticated:True
2025-05-21 07:01:59.5814[25]  INFO HomeController  進入首頁
2025-05-21 07:03:26.2894[34]  INFO HomeController  進入首頁 IsGuest:False IsAuthenticated:True
2025-05-21 07:03:26.2894[34]  INFO HomeController  進入首頁
2025-05-21 07:03:27.9641[25]  INFO StudentPopulationController  進入首頁(MainMenu)
2025-05-21 07:03:27.9641[25]  INFO StudentPopulationController  進入首頁確認使用者 User.IsGuest False User.Id 39f4dcfc-8205-434e-7e2d-08dd70e468ab
